2025-06-01 08:00,42.87,15.45
2025-06-01 09:00,69.94,24.03
2025-06-01 10:00,73.55,19.85
2025-06-01 11:00,52.45,15.76
2025-06-01 12:00,64.68,17.89
2025-06-01 13:00,44.85,15.02
2025-06-01 14:00,30.0,19.84
2025-06-01 15:00,72.73,13.71
2025-06-01 16:00,27.46,14.89
2025-06-01 17:00,59.81,23.85
2025-06-01 18:00,31.45,20.51
2025-06-01 19:00,52.77,13.87
2025-06-01 20:00,42.58,11.98
2025-06-01 21:00,47.85,15.35
2025-06-01 22:00,29.88,23.55
2025-06-01 23:00,75.67,23.43
2025-06-02 00:00,34.38,17.2
2025-06-02 01:00,62.58,24.55
2025-06-02 02:00,62.15,20.15
2025-06-02 03:00,53.04,12.88
